AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO
2011;9;4;ESCUELA REPUBLICA DE ISRAEL;15;15101;Arica;2;0;110;74;75;67;86;113;100;81;117;713;70;74;77;73;73;81;94;81;623;2;1;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;3;1;0;0;2;0;0;0;1;4
2011;10;8;ESCUELA REPUBLICA DE FRANCIA;15;15101;Arica;2;0;110;0;0;1;1;0;1;0;0;3;18;28;30;39;44;36;56;61;312;0;0;0;0;0;0;0;0;0;1;3;3;0;0;0;1;5;13;0;0;0;0;0;0;0;0;0;2;0;1;2;0;1;2;0;8
2011;10;8;ESCUELA REPUBLICA DE FRANCIA;15;15101;Arica;2;0;310;0;0;0;0;0;0;0;0;0;0;17;19;14;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;4
2011;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;15101;Arica;2;0;110;15;11;15;14;11;14;14;16;110;9;15;13;21;15;20;13;16;122;2;2;2;0;1;0;2;0;9;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;0;4
2011;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;15101;Arica;2;0;110;12;12;15;16;29;23;24;22;153;15;23;14;14;18;28;31;27;170;1;0;0;0;3;1;0;1;6;0;1;0;1;0;1;0;0;3;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
2011;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;15101;Arica;2;0;110;17;10;14;16;15;19;18;14;123;12;8;19;13;16;14;13;23;118;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;2;0;1;1;0;0;1;0;5;1;0;0;0;0;0;0;0;1
2011;14;0;ESCUELA ROMULO J. PENA MATURANA;15;15101;Arica;2;0;110;8;15;10;10;17;7;12;13;92;8;5;10;9;6;13;6;13;70;1;0;1;0;0;0;0;5;7;1;0;0;0;0;2;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2011;15;9;LICEO ARTISTICO DR. JUAN NOE CREVANI;15;15101;Arica;2;0;110;0;2;13;14;14;11;17;22;93;0;4;7;9;10;11;12;14;67;0;2;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;2;7;0;0;0;0;0;0;0;0;0
2011;15;9;LICEO ARTISTICO DR. JUAN NOE CREVANI;15;15101;Arica;2;0;310;17;26;19;27;0;0;0;0;89;20;7;8;20;0;0;0;0;55;8;3;4;0;0;0;0;0;15;3;2;0;0;0;0;0;0;5;7;3;5;1;0;0;0;0;16;5;2;2;0;0;0;0;0;9
2011;16;7;ESCUELA REGIMIENTO RANCAGUA;15;15101;Arica;2;0;110;14;10;17;12;17;16;24;31;141;3;5;9;2;4;7;9;13;52;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;1;1;3;1;1;1;0;0;3;2;11;1;0;1;0;0;0;0;0;2
2011;17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;15101;Arica;2;0;110;17;14;12;19;19;16;14;7;118;17;14;11;6;9;12;16;16;101;0;2;2;0;0;0;0;0;4;0;1;1;0;0;0;0;0;2;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
2011;18;3;ESC. COMTE. JUAN JOSE SAN MARTIN;15;15101;Arica;2;0;110;22;19;28;21;28;27;19;31;195;23;18;30;16;32;22;33;26;200;2;0;0;1;0;1;3;0;7;1;2;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;1;0;1
2011;19;1;ESC. HUMBERTO VALENZUELA GARCIA;15;15101;Arica;2;0;110;28;21;16;21;28;22;25;21;182;10;25;26;17;18;17;20;15;148;0;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;1;0;7;0;0;0;0;0;0;0;0;0
2011;20;5;ESCUELA TUCAPEL;15;15101;Arica;2;0;110;31;20;19;24;36;26;29;22;207;17;22;23;23;29;14;30;16;174;0;3;0;0;4;3;2;0;12;0;0;1;0;1;2;0;0;4;1;0;2;0;0;0;4;0;7;1;1;0;1;0;0;1;0;4
2011;21;3;ESCUELA LINCOYAN;15;15101;Arica;2;0;110;9;8;13;6;9;7;10;14;76;7;5;4;6;4;6;5;3;40;0;0;1;1;1;0;1;1;5;1;1;0;0;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;22;1;ESCUELA GABRIELA MISTRAL;15;15101;Arica;2;0;110;49;43;53;57;54;68;39;49;412;48;20;48;45;58;46;45;55;365;1;3;3;0;4;1;2;0;14;1;2;0;0;0;3;1;0;7;4;0;2;2;1;0;2;2;13;0;2;0;3;1;0;0;0;6
2011;25;6;ESCUELA CENTENARIO;15;15101;Arica;2;0;110;18;18;15;28;19;22;27;24;171;22;21;21;18;27;29;37;10;185;2;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0;0;1;0;2
2011;26;4;ESCUELA REPUBLICA DE ARGENTINA;15;15101;Arica;2;0;110;12;14;12;13;14;12;17;17;111;11;10;10;9;12;11;16;11;90;1;1;2;1;0;1;1;0;7;0;1;0;0;1;0;1;2;5;1;0;1;0;0;0;1;0;3;0;0;0;1;0;0;0;0;1
