APR_HOM_TO;APR_MUJ_TO;REP_HOM_TO;REP_MUJ_TO;RET_HOM_TO;RET_MUJ_TO
114;105;7;1;0;0
508;461;72;46;18;10
140;102;14;9;6;7
201;190;9;8;6;7
121;80;11;7;14;9
128;138;2;4;0;1
159;144;31;18;6;7
181;161;7;6;2;0
82;92;10;5;3;2
151;145;11;4;1;0
311;285;11;7;3;2
73;87;4;1;1;0
117;117;6;3;1;0
629;726;24;14;1;0
140;145;3;4;1;0
190;204;26;15;25;18
114;116;16;5;0;3
159;183;23;13;2;0
150;115;8;1;3;2
132;110;17;13;4;2
115;90;3;1;0;0
100;95;2;1;0;0
177;155;4;1;1;0
88;73;11;2;1;1
82;84;12;7;0;0
86;59;2;0;0;0
65;75;2;0;1;1
41;31;0;0;0;0
170;181;3;6;0;0
98;13;10;2;5;1
300;371;7;6;0;1
248;257;17;7;7;3
204;199;7;3;0;0
144;153;10;1;3;2
90;85;7;5;1;0
179;135;1;2;0;0
54;0;6;0;18;0
84;78;8;3;2;1
123;129;10;5;13;12
80;51;9;4;8;3
398;413;18;7;0;1
91;95;9;2;1;0
84;83;8;3;0;0
254;291;2;0;0;0
388;501;18;19;6;2
131;113;9;8;2;1
283;299;7;8;1;0
136;40;15;3;5;1
147;169;2;4;0;0
0;213;0;10;0;8
61;46;0;0;0;0
327;313;13;12;4;2
152;112;5;2;0;0
98;123;0;0;1;0
263;265;0;0;0;2
24;80;1;6;2;9
277;303;25;11;1;0
224;173;16;2;6;3
87;78;2;2;0;0
248;302;11;7;0;0
56;39;3;3;1;0
109;90;0;1;3;2
180;165;16;1;1;1
254;210;9;8;1;2
64;66;2;3;2;0
70;60;3;0;2;1
343;272;8;3;1;0
155;88;4;2;0;0
0;355;0;7;0;3
71;61;18;16;16;7
118;89;3;0;2;0
426;466;6;4;0;1
123;112;8;3;19;13
405;533;21;12;2;1
68;57;16;13;27;14
140;104;2;2;2;3
229;205;5;4;9;7
90;59;2;2;4;3
273;278;12;5;1;2
211;176;3;4;3;4
156;155;2;1;2;0
22;12;2;0;2;2
32;27;1;1;5;2
187;204;11;4;0;1
213;174;4;5;0;1
309;330;2;0;0;1
95;100;0;0;1;0
196;228;5;4;1;0
355;358;11;6;2;1
96;86;2;2;2;2
55;72;0;3;1;1
7;4;6;8;3;2
355;31;61;10;40;11
268;0;2;0;4;0
23;295;12;43;2;16
84;50;6;5;0;0
118;114;4;3;1;0
154;91;3;2;3;1
100;93;11;11;5;0
195;168;11;9;1;0
141;135;19;9;4;0
135;98;7;2;1;0
78;65;0;0;0;0
132;113;6;1;0;1
80;66;6;0;0;0
162;123;4;1;1;0
7;1;3;1;1;1
62;33;6;3;1;1
93;60;0;0;0;0
89;86;1;1;1;0
76;40;5;1;0;0
46;38;2;0;0;0
18;9;0;1;0;0
137;105;3;0;0;1
0;538;0;10;0;3
0;279;0;2;0;7
421;500;29;25;1;2
661;599;29;24;6;2
213;217;10;5;3;2
179;180;0;2;0;0
130;132;7;4;1;1
126;109;2;2;0;0
91;69;0;0;0;0
59;53;0;0;0;0
76;52;0;1;0;0
81;85;1;1;0;1
265;243;8;4;3;5
323;273;8;3;1;1
246;298;41;23;16;17
114;103;3;2;1;0
129;74;1;1;0;1
8;10;0;0;0;0
105;142;3;4;0;0
138;131;11;1;0;0
121;150;7;3;2;1
34;39;1;1;0;0
46;58;0;1;0;0
42;27;1;1;1;0
56;51;2;1;1;1
38;42;2;2;0;0
27;22;4;0;0;0
30;19;1;0;1;0
9;13;1;0;0;0
9;11;0;0;0;0
23;20;2;1;0;0
185;183;14;3;1;0
27;32;0;1;0;0
14;9;0;0;0;0
29;30;0;1;0;0
4;1;0;0;0;0
717;727;23;25;6;7
258;229;7;9;3;2
2;2;0;0;0;0
194;226;1;0;6;5
248;247;17;7;9;6
71;60;4;0;0;0
136;164;0;0;0;0
2;1;0;0;0;0
436;398;15;11;4;2
58;40;3;1;2;1
81;52;5;3;1;0
342;263;29;16;4;3
208;191;28;13;27;37
281;130;73;20;51;11
17;0;0;0;15;0
0;21;0;0;0;11
44;55;4;2;0;0
2;6;1;0;0;0
0;5;0;2;6;1
2;3;1;0;0;0
140;133;0;1;0;0
233;230;15;7;3;0
114;108;1;0;0;2
27;48;5;5;8;4
151;184;7;2;0;0
296;339;2;2;1;0
269;285;11;3;0;0
8;4;0;0;0;0
17;13;0;0;2;1
3;3;0;0;0;0
118;99;6;1;1;1
85;95;4;4;0;0
7;0;2;0;4;0
35;59;7;4;4;6
398;370;24;22;4;1
138;212;6;3;0;0
102;75;10;1;1;3
7;9;0;1;9;6
6;5;0;0;0;0
4;0;0;0;0;0
4;3;0;0;1;0
272;292;7;6;0;1
294;311;15;8;0;1
41;0;7;0;8;0
2;0;0;0;0;0
266;160;7;2;0;0
51;46;3;1;4;2
164;133;1;0;0;0
4;8;2;0;0;0
123;157;7;4;2;2
71;74;1;2;0;0
125;106;9;5;1;4
97;78;4;4;1;0
117;82;9;5;2;0
198;149;13;6;1;0
4;4;2;0;2;2
86;79;2;1;0;0
239;201;16;8;2;0
29;32;1;0;0;0
127;124;9;4;0;0
8;4;0;1;5;5
130;97;1;1;1;1
257;182;7;2;0;1
7;1;0;0;0;0
150;121;6;2;2;1
447;412;20;12;2;1
2;6;0;0;0;0
23;18;1;0;0;0
47;31;20;9;26;8
13;17;2;4;7;9
144;110;2;2;1;0
23;24;1;0;0;0
1;0;0;0;0;0
155;162;9;2;0;0
7;8;13;7;7;3
192;140;14;9;1;0
167;119;7;2;0;0
119;137;58;27;77;76
230;207;3;1;1;1
59;51;0;1;2;1
3;3;0;0;0;0
161;167;2;0;0;0
4;10;0;0;0;0
22;60;3;3;0;5
3;0;0;0;1;0
387;296;13;2;0;1
43;34;6;4;0;2
51;51;12;7;2;4
20;14;1;0;1;2
21;20;3;1;28;22
9;4;0;0;0;0
166;129;3;3;1;0
2;1;0;0;0;0
79;50;4;1;2;1
325;379;6;3;0;0
20;27;1;0;0;0
23;9;5;4;2;1
124;130;4;4;0;1
42;26;1;3;0;0
102;85;7;5;0;0
6;9;0;0;0;0
3;1;0;0;0;0
121;123;2;1;1;3
30;10;2;1;5;0
256;230;9;2;1;0
8;11;0;1;0;0
22;14;0;1;0;0
18;2;5;0;2;0
77;58;14;11;3;0
5;5;0;0;0;0
13;4;0;0;0;0
8;10;3;0;0;0
2;0;0;0;0;0
63;39;1;0;0;0
19;9;1;0;1;0
18;15;0;0;1;0
12;0;1;0;7;0
2;7;0;0;0;0
9;1;0;1;1;0
7;5;0;0;0;0
1;7;0;0;0;0
29;43;0;1;4;3
11;3;1;0;1;2
2;5;0;0;0;0
97;85;12;8;8;3
4;0;0;0;0;0
76;122;3;9;1;0
0;3;0;0;0;0
53;32;8;10;5;1
54;39;0;1;1;0
1;2;0;0;0;0
467;475;0;4;3;1
137;127;5;1;0;0
265;262;5;3;4;1
67;47;7;4;7;6
189;214;10;1;3;0
101;103;23;10;13;5
122;113;29;25;2;3
286;280;10;3;1;0
117;125;0;0;2;0
119;109;14;5;0;0
352;350;16;7;1;0
246;255;18;8;0;0
29;21;3;1;2;0
171;172;30;8;1;1
94;90;16;9;8;6
390;241;4;1;0;0
124;151;8;2;4;0
47;40;2;1;1;0
75;61;3;5;2;2
205;182;12;2;1;0
72;49;6;1;2;0
111;103;6;5;4;3
70;58;3;3;0;0
0;20;0;0;0;0
97;49;2;1;10;5
281;296;1;0;0;1
119;111;0;0;6;0
293;337;7;7;2;2
399;387;20;18;0;2
92;75;24;14;13;5
155;132;5;0;3;1
111;108;6;2;1;0
147;136;1;4;0;0
59;35;7;3;7;5
42;37;2;1;1;2
89;71;6;6;0;2
0;122;0;48;0;66
200;232;20;10;3;1
57;46;3;1;6;4
69;0;29;0;114;0
82;32;7;5;0;0
280;251;18;8;3;12
288;237;17;7;0;0
619;71;145;7;87;7
160;150;8;7;0;0
159;174;13;15;2;1
105;79;19;10;17;13
105;95;3;2;1;0
218;230;5;2;1;0
68;36;8;9;2;2
141;146;4;2;0;0
87;63;2;3;0;0
114;130;6;5;0;1
263;246;12;1;0;0
262;227;1;1;0;0
99;61;5;2;2;4
206;0;5;0;25;0
140;109;0;0;0;0
20;10;6;11;6;6
202;191;0;3;2;3
140;117;6;3;1;1
133;135;11;12;7;3
109;141;10;2;10;6
6;5;0;0;3;5
309;372;33;17;47;55
172;146;14;3;3;0
115;55;9;8;3;11
160;217;5;11;0;0
302;304;20;21;2;3
256;229;17;5;2;0
173;175;27;15;3;2
144;129;3;3;2;1
73;72;3;1;0;0
132;125;14;6;2;1
5;3;1;0;1;0
397;421;3;0;2;2
294;293;16;18;1;2
609;549;0;1;0;0
217;165;3;1;0;2
446;483;6;11;3;2
96;100;19;6;5;0
503;497;12;4;9;8
130;147;13;9;0;3
228;184;10;4;0;0
86;61;11;4;8;10
271;288;15;14;1;3
125;109;2;1;0;0
5;87;1;10;1;12
55;12;4;0;1;0
368;348;5;2;0;1
8;0;0;0;0;0
342;275;14;7;0;1
81;90;1;5;2;0
96;53;7;1;2;0
160;167;2;0;1;1
0;153;0;1;0;0
125;134;2;6;0;2
170;179;2;4;0;1
133;157;3;3;0;0
985;34;39;5;21;1
159;0;2;0;2;0
143;184;6;4;0;0
12;8;4;4;7;9
142;147;0;0;0;0
82;81;4;3;2;2
0;5;0;0;0;0
213;239;3;1;1;3
21;13;0;0;0;0
683;102;52;2;9;1
185;207;0;0;1;0
3;2;0;0;0;0
88;75;7;3;3;1
436;434;20;9;6;2
264;320;13;9;2;0
270;237;8;2;20;15
239;207;19;13;6;1
141;128;11;8;0;1
82;76;1;2;1;1
381;351;2;2;2;0
272;182;5;1;2;2
104;119;9;8;1;0
105;74;8;5;1;1
153;142;3;14;0;0
224;194;9;5;20;12
143;119;17;11;3;8
111;103;10;6;31;19
131;80;18;12;5;1
0;0;0;0;10;4
57;45;2;1;1;0
304;283;17;13;1;1
100;60;1;1;5;5
113;89;0;0;1;0
9;11;6;6;0;0
53;0;4;0;6;0
80;89;4;2;1;3
157;81;13;5;4;4
89;79;7;3;3;4
41;37;5;3;3;1
114;113;7;8;2;1
8;14;4;0;2;0
120;121;7;11;0;0
19;28;0;1;0;1
16;4;0;0;0;1
55;20;0;0;0;0
14;8;1;0;0;0
299;343;46;26;8;13
278;293;31;24;0;0
50;12;6;3;0;0
26;31;3;1;1;0
117;76;0;0;1;1
132;130;5;1;1;1
79;51;7;5;2;0
130;107;19;6;5;3
242;248;6;2;0;0
180;217;23;6;6;12
633;574;42;26;5;3
17;7;0;0;2;0
139;137;4;2;4;5
210;217;0;0;0;1
17;14;5;1;1;2
59;36;1;2;3;7
196;223;6;1;0;0
4;3;0;0;0;0
76;88;1;3;1;0
151;108;7;4;2;3
140;128;3;6;1;0
18;0;2;0;4;0
155;142;10;9;0;0
5;6;1;2;0;0
103;123;14;14;0;1
115;120;8;4;0;2
101;99;10;8;2;1
115;101;11;0;5;2
90;92;3;4;1;0
84;74;21;9;12;4
251;203;13;3;1;1
5;0;0;0;0;0
24;77;3;7;0;1
111;98;0;0;2;2
187;177;3;3;2;4
92;96;7;2;2;0
241;227;9;4;1;2
131;118;5;1;0;1
308;317;14;6;1;0
413;411;38;15;4;1
164;134;34;12;10;11
114;83;8;6;2;1
25;31;3;1;1;0
386;396;15;14;6;2
24;24;2;0;0;0
75;63;8;6;2;6
1;2;0;0;0;0
1;0;0;0;0;0
47;28;2;0;0;0
2;3;0;0;0;0
498;477;7;5;5;4
731;816;12;8;7;2
703;741;1;0;3;0
146;151;0;2;0;0
0;0;0;0;3;2
112;93;3;1;1;3
302;327;4;1;3;1
141;87;3;3;9;6
250;250;0;0;3;1
259;288;1;0;2;2
171;167;3;3;3;3
204;144;20;11;15;7
315;380;8;10;1;4
228;213;7;7;3;1
406;414;3;3;0;0
149;224;25;13;4;10
297;311;16;4;4;4
112;126;11;6;4;2
195;180;18;15;9;5
148;119;5;4;8;6
63;47;0;0;0;1
248;240;6;3;2;0
166;155;2;1;3;3
310;318;8;3;6;2
220;249;24;14;2;2
320;276;20;4;4;0
229;205;26;6;11;9
144;130;0;0;2;5
37;6;9;7;2;1
116;89;1;5;3;1
3;1;0;0;0;0
459;522;1;7;0;1
1;0;0;0;0;0
350;430;0;0;0;0
409;0;7;0;1;0
386;403;0;0;2;0
138;47;16;4;8;1
234;227;18;10;9;10
84;62;4;1;4;2
14;22;3;2;7;2
434;433;18;17;3;5
147;100;8;2;6;2
32;0;3;0;13;0
107;43;6;3;3;1
146;184;3;2;4;1
160;129;35;15;17;12
288;265;9;5;9;2
298;320;12;12;4;3
176;188;5;1;1;1
384;308;7;13;9;6
149;100;3;2;1;1
277;208;18;10;2;2
42;49;0;3;0;2
74;18;27;2;60;20
156;127;8;7;5;1
110;145;0;0;1;2
58;50;2;3;2;1
316;368;3;0;12;8
255;230;12;2;6;3
383;101;61;17;81;32
2;6;4;5;4;17
17;21;1;0;1;1
198;184;8;7;3;5
82;78;0;0;3;3
26;0;7;0;20;0
55;51;0;0;0;0
45;49;0;1;0;0
117;89;9;4;3;2
45;28;2;1;1;0
16;20;3;1;20;14
44;33;0;0;0;0
265;272;3;1;0;0
233;173;0;1;1;0
0;354;0;3;0;1
588;556;6;1;3;2
195;184;5;10;5;11
76;27;8;2;1;0
26;1;6;0;7;1
194;188;3;3;0;6
177;464;57;56;12;20
141;168;2;1;1;0
71;49;8;3;6;3
125;113;100;62;23;20
285;291;26;29;7;7
300;358;4;3;0;0
266;247;9;11;0;1
390;319;33;22;24;21
11;11;0;1;0;0
132;146;3;2;2;0
223;229;3;3;0;0
293;261;2;1;0;1
80;113;4;4;8;3
203;242;0;1;1;2
98;84;2;2;2;4
347;387;9;4;2;3
70;51;1;1;44;21
153;164;3;1;0;0
86;94;0;0;0;1
98;61;15;3;1;1
220;224;1;1;12;7
700;657;38;29;4;5
227;198;7;2;2;1
397;0;5;0;1;0
436;399;35;20;39;19
431;343;5;5;7;2
178;186;4;2;0;2
112;80;23;2;46;40
406;410;36;26;7;7
475;556;10;4;0;4
420;403;15;8;1;1
158;17;17;0;27;0
53;20;3;1;2;2
313;275;8;9;0;0
145;174;4;5;1;2
125;113;4;2;1;1
323;262;5;2;1;4
2;29;2;3;0;6
398;314;22;12;1;1
3;2;0;0;0;0
200;221;2;0;5;0
263;286;16;1;8;5
95;101;2;0;2;0
5;1;3;0;2;4
27;26;1;1;0;0
180;149;4;2;0;0
8;5;1;0;0;0
163;150;8;3;4;1
249;225;3;4;3;1
153;94;9;3;3;0
147;141;3;5;1;0
39;41;21;8;79;51
455;0;44;0;7;0
127;102;1;1;2;1
293;267;25;16;6;5
31;29;1;2;1;1
398;307;26;11;7;1
188;179;12;4;4;4
137;118;19;11;37;25
235;226;7;5;1;1
139;104;0;0;1;1
227;168;18;7;0;0
94;119;2;0;2;0
186;166;3;4;0;0
7;3;0;0;3;2
335;246;16;10;2;2
253;308;0;2;1;2
9;3;0;2;5;3
59;87;0;1;0;2
84;101;1;2;0;0
2;3;1;2;3;1
2;0;0;0;0;0
2;4;0;0;0;1
65;62;4;2;0;0
126;127;7;2;2;0
19;14;2;3;1;0
3;1;0;0;0;0
88;86;1;1;1;0
5;3;0;0;1;0
4;2;0;0;0;0
426;468;7;9;0;1
156;159;1;0;2;0
39;33;0;3;1;1
172;220;3;3;0;0
77;29;3;1;1;0
112;104;3;0;2;0
88;41;11;3;11;2
1;1;0;0;0;0
73;57;7;1;1;2
38;21;4;2;2;0
237;250;12;12;1;0
67;94;30;4;1;1
243;274;4;2;0;2
63;59;0;0;1;1
259;231;14;13;3;1
2;7;1;0;0;0
5;6;0;0;0;0
1;1;0;0;0;0
4;1;0;0;0;0
118;140;4;0;0;0
243;247;10;5;0;1
5;2;0;0;0;0
24;11;0;0;2;0
8;5;0;0;0;0
7;2;0;0;0;0
95;109;6;3;1;3
255;224;24;15;5;4
165;174;2;0;0;1
98;69;1;0;0;0
104;73;20;13;9;2
25;15;3;1;0;0
10;6;4;2;6;2
102;93;2;3;2;2
118;112;4;5;2;1
24;20;2;0;0;0
82;45;1;0;1;2
50;24;0;2;1;2
215;235;0;1;0;1
24;4;0;0;1;0
157;157;2;4;0;0
355;307;16;5;2;4
35;24;2;0;1;4
231;247;6;11;0;0
296;276;7;7;0;0
4;3;1;0;2;0
132;143;8;9;0;0
340;324;59;16;5;4
10;10;1;0;0;0
109;107;1;1;7;2
120;114;14;5;1;0
269;255;15;9;0;2
239;195;11;8;2;0
248;255;9;3;1;1
224;202;14;11;3;7
109;99;8;12;0;1
23;10;17;5;10;6
2;1;0;0;0;0
94;70;7;1;4;0
129;163;7;6;9;2
138;95;6;5;0;1
149;158;8;3;1;0
8;8;1;0;1;2
55;46;4;1;0;0
11;5;0;0;11;10
192;162;3;4;0;0
119;173;4;2;0;0
157;149;10;10;0;3
108;154;12;4;1;0
94;73;2;1;0;0
61;39;6;3;0;1
39;60;0;1;3;2
34;45;2;0;0;0
35;63;4;2;3;2
117;92;12;3;0;0
152;137;6;1;4;0
32;29;1;0;1;0
28;18;2;0;2;0
161;167;2;0;0;0
127;126;6;2;1;0
0;25;0;7;0;1
6;4;0;0;0;0
43;33;3;0;0;0
26;18;1;7;4;2
4;11;0;0;0;1
439;464;36;14;16;12
133;79;7;5;1;0
135;86;10;9;3;1
16;24;11;13;15;21
88;14;31;0;29;3
138;133;5;1;2;1
258;306;28;13;1;1
179;172;2;2;1;4
73;64;7;4;3;0
3;1;1;0;6;2
176;120;10;5;3;1
163;99;9;0;3;1
171;159;3;3;0;0
174;138;1;2;1;0
129;120;5;3;0;1
98;63;6;1;0;1
432;440;21;8;2;1
21;22;7;1;0;0
66;43;6;4;3;0
38;34;16;4;47;22
317;274;15;9;2;0
159;171;2;0;0;0
159;135;1;4;0;0
71;62;1;2;1;0
20;19;1;0;0;1
106;82;0;0;0;0
70;30;2;0;0;0
46;61;57;22;10;6
110;109;8;7;1;0
40;27;3;2;1;0
124;117;11;8;0;0
27;5;0;0;2;0
59;28;2;0;1;0
0;178;0;1;0;0
5;0;0;0;4;4
91;70;4;0;0;0
106;108;0;0;0;1
129;114;8;5;0;2
99;122;2;0;0;0
112;202;7;5;9;1
157;136;16;3;0;0
7;5;0;1;0;0
160;132;3;4;3;1
12;11;11;4;20;19
96;100;1;1;1;0
126;187;0;0;1;1
115;130;9;8;1;1
89;54;3;0;0;1
72;95;2;2;0;0
80;59;2;0;0;0
34;13;3;0;0;0
511;544;7;1;1;1
83;35;8;2;10;2
80;80;3;1;1;1
334;320;0;3;2;4
94;130;4;2;8;9
26;11;1;3;2;4
305;305;6;9;0;0
109;99;3;8;0;0
492;561;2;1;0;0
73;64;2;0;3;4
68;56;7;6;0;1
31;29;4;3;2;6
172;180;16;12;3;2
145;85;2;1;0;0
285;299;7;4;1;2
103;70;0;0;0;0
156;123;0;1;0;0
28;38;0;0;1;0
73;87;0;0;0;0
152;156;27;11;1;0
78;20;37;11;51;13
204;222;1;0;0;0
58;49;1;2;2;3
149;114;12;1;3;0
24;22;24;16;3;5
84;79;2;2;2;3
104;43;3;2;2;1
132;93;2;1;0;1
268;268;2;3;0;0
7;6;2;2;4;4
73;58;7;3;5;5
100;78;2;1;2;0
5;3;6;4;1;0
10;7;0;0;0;0
131;111;5;3;1;1
21;11;0;0;10;6
110;113;13;14;30;29
155;184;2;0;4;1
3;9;9;2;5;1
0;238;0;39;0;23
109;75;0;1;0;2
225;225;13;3;3;1
107;115;2;7;0;0
147;88;7;2;0;0
14;9;1;4;9;3
78;74;0;1;0;1
209;0;1;0;0;0
89;94;1;0;1;2
100;96;0;1;0;0
277;291;7;3;1;0
91;73;4;3;3;1
15;17;2;0;0;0
108;103;4;3;3;1
279;314;2;1;1;0
4;7;0;0;22;25
39;33;2;0;0;2
283;289;30;10;0;0
91;79;5;5;28;18
208;210;7;5;1;1
22;21;2;0;0;0
73;104;4;0;1;0
144;125;5;1;0;1
123;100;2;0;0;0
268;203;4;1;0;0
123;41;2;4;1;0
146;139;0;0;1;0
135;176;26;27;43;42
61;35;7;0;4;0
19;10;5;0;9;12
172;202;9;3;3;2
91;74;9;5;10;8
63;54;1;1;1;4
77;81;12;1;0;0
157;89;11;1;1;1
15;15;7;0;1;3
85;88;4;4;1;0
9;8;0;2;11;5
124;59;11;2;0;0
128;93;0;1;1;0
70;61;3;2;0;0
78;52;0;0;0;0
111;111;1;1;0;0
299;249;13;6;1;0
56;39;3;0;0;0
271;241;3;8;1;0
64;0;32;0;47;0
220;225;6;0;0;0
67;67;2;1;0;0
28;21;7;2;0;0
32;62;16;17;8;12
82;49;1;1;0;0
8;7;0;0;0;1
289;305;22;19;3;1
101;77;3;3;1;1
93;71;7;3;1;4
114;144;7;9;1;0
81;66;3;3;2;1
80;73;7;2;1;0
0;0;0;0;1;2
69;69;13;8;20;22
33;13;4;2;0;0
86;83;8;3;1;3
225;322;17;6;2;0
79;87;6;3;1;1
126;123;18;11;0;2
247;248;4;4;3;0
105;107;1;1;4;1
4;0;0;0;24;24
106;93;9;3;2;1
125;94;6;3;2;1
264;294;15;8;1;1
172;174;0;0;1;0
293;333;8;2;0;1
141;138;6;4;0;0
15;13;3;3;6;4
136;124;3;2;1;1
136;156;13;14;0;1
42;14;1;1;1;2
53;36;7;0;0;1
98;89;19;10;3;1
0;0;0;0;12;12
15;3;1;1;0;0
63;0;3;0;7;0
103;90;0;0;0;0
108;80;5;1;0;0
81;63;0;0;1;1
10;3;4;1;2;2
115;151;0;1;0;0
121;111;20;27;26;28
122;69;0;0;0;0
264;262;7;2;0;0
253;311;5;3;1;1
131;130;3;2;2;0
142;144;1;5;7;0
112;98;2;2;2;0
117;116;0;0;2;3
117;112;8;1;2;2
284;333;14;4;1;2
176;85;4;0;0;0
94;111;2;3;2;0
211;0;47;0;0;0
32;35;44;22;19;16
138;136;4;1;2;0
106;140;8;12;1;1
137;103;1;0;6;0
163;168;2;0;1;0
142;146;1;3;3;2
217;228;13;9;0;1
64;55;0;0;0;0
146;142;2;1;0;0
165;161;6;1;8;4
77;90;31;22;19;19
115;101;1;2;0;2
15;9;3;2;4;1
223;170;9;1;3;0
112;117;6;3;5;1
97;59;8;2;0;3
94;94;12;4;2;1
23;33;3;1;1;1
89;80;4;3;0;0
51;40;0;0;0;2
56;75;8;3;58;36
47;39;3;1;4;2
590;528;35;12;13;12
11;15;1;3;0;1
102;122;2;0;0;0
197;228;2;4;0;0
305;301;0;1;1;0
83;71;0;1;0;0
113;95;12;9;6;6
15;15;2;0;2;0
107;101;16;7;1;2
147;135;2;0;0;2
48;0;30;0;35;0
120;110;0;0;1;0
127;95;0;0;0;0
211;294;7;1;0;1
93;112;1;3;5;1
184;201;0;0;1;0
130;102;11;9;0;2
213;231;0;0;1;1
65;85;1;1;1;1
81;84;0;0;0;0
110;126;4;4;1;1
89;88;5;1;2;0
54;61;1;0;0;0
238;242;8;4;0;0
198;213;0;1;0;0
1;2;1;0;0;0
158;159;10;4;1;0
42;35;7;1;5;1
7;4;2;0;3;3
87;98;1;0;0;0
102;121;2;0;0;0
7;7;0;0;1;0
162;147;1;0;0;0
65;47;6;1;1;1
87;101;6;5;0;0
112;95;3;0;0;3
172;144;13;11;5;3
146;151;2;5;0;0
243;252;6;8;0;0
100;76;0;0;0;0
168;157;21;2;2;1
250;290;9;6;1;1
370;346;20;13;2;4
1;5;0;0;0;0
158;128;8;2;0;0
117;111;0;0;0;0
348;345;6;2;0;0
174;138;0;2;0;0
113;150;4;2;0;0
134;113;8;4;0;2
96;76;13;7;1;2
441;472;76;69;13;7
155;91;8;0;2;1
218;261;9;11;0;2
288;190;3;4;1;3
246;437;0;1;2;1
18;10;8;2;13;9
25;5;5;4;4;11
165;175;5;2;4;1
96;59;3;1;0;0
114;159;2;0;0;0
119;123;2;0;0;0
207;223;2;5;1;0
270;252;9;5;2;0
98;100;5;1;2;0
45;35;1;0;2;1
73;79;26;8;13;2
64;103;2;3;0;0
12;9;4;0;0;0
218;216;8;5;0;1
270;260;16;5;0;1
122;125;7;2;4;1
156;147;1;10;0;0
203;232;5;4;1;1
147;135;10;1;0;0
236;226;21;8;1;0
113;80;20;9;9;8
147;121;15;6;16;6
9;5;0;0;1;4
89;68;12;4;1;0
123;94;0;0;0;0
12;8;6;1;11;9
135;122;4;2;0;0
2;0;5;0;7;0
58;64;0;0;0;0
122;143;5;1;0;0
73;67;24;17;22;9
166;144;10;6;1;0
21;5;1;2;1;0
0;19;0;1;0;1
100;65;5;2;1;2
9;5;1;1;0;2
259;270;1;3;0;0
128;113;7;4;0;0
187;183;12;17;2;4
80;73;4;0;3;1
149;140;3;1;0;0
114;90;7;3;0;0
204;208;2;0;1;1
326;295;8;5;1;1
176;219;10;4;0;1
100;92;4;4;2;0
88;62;4;1;0;0
54;56;5;12;3;3
427;30;31;9;19;4
80;64;19;7;38;24
110;115;0;1;0;0
21;9;0;1;0;0
27;22;1;1;0;0
276;268;12;7;1;1
143;150;24;15;40;49
370;353;14;6;1;0
78;156;1;2;2;4
39;48;2;0;0;0
145;125;4;0;16;8
300;237;9;5;5;0
121;84;1;0;0;0
16;10;2;0;3;2
52;59;7;4;1;2
400;584;54;67;1;0
309;242;12;8;0;0
348;325;27;12;0;3
0;662;0;8;0;1
121;71;4;0;0;0
222;179;11;3;6;8
115;119;4;3;0;0
0;0;1;0;0;0
51;24;0;0;0;0
11;18;3;1;8;1
28;33;25;11;13;11
114;123;27;10;2;5
127;91;57;15;17;13
6;6;8;8;14;16
16;16;6;10;3;5
314;339;61;30;13;2
247;197;8;1;1;0
104;86;3;0;1;0
130;123;1;0;0;0
124;133;1;1;0;0
170;185;6;2;0;0
155;190;0;0;1;0
112;98;2;0;2;1
50;39;3;3;0;0
138;84;5;2;0;0
205;169;2;0;9;3
135;117;26;8;5;9
117;107;10;9;1;0
251;202;15;5;1;1
114;99;3;0;0;1
25;17;1;1;1;0
181;127;8;7;0;1
72;48;2;2;0;0
89;46;11;1;3;0
135;81;1;0;0;1
288;236;4;1;0;0
143;113;8;4;0;0
17;12;0;1;0;0
106;78;2;1;2;1
103;24;10;2;6;0
140;151;12;5;0;3
91;100;15;13;0;0
199;153;12;6;0;0
6;8;0;0;0;0
298;299;0;0;0;0
191;534;1;12;7;10
44;35;1;2;0;0
10;14;0;0;0;1
158;128;4;2;1;0
119;149;4;0;0;2
356;339;0;3;1;0
45;36;18;7;0;1
127;133;5;1;0;0
63;58;5;1;1;0
80;95;0;2;0;0
323;322;6;3;0;2
104;75;0;0;0;0
55;53;14;10;8;5
97;85;7;3;0;2
17;6;7;5;11;2
17;27;5;4;19;11
77;51;7;3;0;1
363;340;3;4;6;2
103;134;4;0;0;0
120;147;8;7;2;2
69;0;2;0;5;0
200;129;6;1;0;0
132;132;9;3;1;0
126;128;15;10;1;0
5;3;0;0;7;6
18;17;1;1;0;0
187;201;1;2;4;6
40;35;0;0;1;1
290;235;12;5;0;0
72;71;0;0;0;0
102;87;1;0;0;1
9;6;0;2;0;1
1;0;0;0;2;2
8;3;0;2;0;2
222;197;5;3;2;1
17;16;0;0;0;1
177;140;5;2;0;1
5;2;0;0;0;0
87;61;1;2;1;0
136;98;2;1;1;0
15;13;5;0;1;0
18;9;0;1;1;0
31;20;0;0;0;0
164;137;8;5;1;0
29;40;0;0;0;0
21;17;8;8;15;12
146;89;16;2;1;1
63;39;0;0;1;0
16;16;0;0;0;0
85;83;2;2;0;1
76;54;0;1;1;2
15;5;0;0;0;0
13;2;0;0;2;3
47;52;0;0;2;0
29;25;0;1;0;0
51;47;7;6;6;2
2;2;1;0;0;0
35;23;0;3;0;0
78;52;8;3;3;0
24;0;27;0;13;0
27;36;4;0;0;2
62;73;2;0;0;2
38;23;8;7;0;0
6;5;0;0;5;3
