APR_HOM_TO;APR_MUJ_TO;REP_HOM_TO;REP_MUJ_TO;RET_HOM_TO;RET_MUJ_TO
1;2;0;0;0;1
291;304;13;7;0;0
99;83;3;3;2;2
184;146;3;1;0;0
191;155;15;8;2;3
28;22;0;0;0;1
4;14;2;1;0;0
7;8;2;0;0;0
293;468;18;20;7;10
652;268;28;6;12;9
128;94;2;4;4;2
374;309;1;1;0;1
126;113;2;0;1;1
282;217;16;8;4;1
124;84;9;9;0;3
64;53;3;1;0;3
319;256;12;6;3;2
3;6;0;1;0;1
6;4;1;1;0;0
5;10;1;0;0;0
32;20;1;0;0;1
8;10;0;0;0;0
16;15;1;0;0;0
262;437;4;2;0;0
202;169;6;1;0;0
154;141;7;1;2;0
12;15;0;1;0;0
15;16;0;0;0;0
13;14;2;0;0;0
7;12;0;0;0;1
117;125;26;15;12;9
135;114;2;2;1;1
159;135;6;0;0;0
141;121;0;1;0;0
72;78;0;0;1;0
4;6;0;1;0;0
12;6;0;1;0;0
3;3;0;0;0;0
3;2;0;0;0;0
84;107;0;0;0;0
2;4;0;0;0;0
3;5;1;0;0;0
1;1;0;0;0;0
3;1;1;0;0;0
6;2;0;0;0;0
4;1;0;0;0;0
5;2;0;1;0;0
0;25;0;7;0;0
22;27;2;0;0;0
0;33;0;0;0;0
393;317;14;2;5;3
158;93;2;0;0;1
1;386;0;9;0;4
175;111;15;8;12;7
230;133;9;6;8;9
157;151;10;5;1;1
213;91;14;6;6;1
0;294;0;7;0;0
190;131;27;24;5;5
121;116;10;7;0;2
29;10;8;4;9;4
60;24;4;4;11;5
158;131;17;6;5;5
142;114;14;6;2;3
93;69;18;2;3;0
44;30;0;0;2;2
48;32;4;0;2;1
62;57;1;1;0;0
49;51;1;1;1;0
40;32;1;1;0;0
55;28;20;1;4;1
4;2;1;0;0;0
1;1;0;0;0;0
37;47;0;0;0;0
3;0;0;0;0;0
7;4;0;0;0;0
68;52;2;3;1;0
75;71;1;2;0;3
9;5;0;0;0;0
40;44;7;0;0;0
6;9;2;1;2;0
65;51;3;0;3;1
2;1;0;0;0;0
3;1;0;0;0;0
240;239;13;5;7;2
113;121;11;6;5;0
295;395;3;3;0;1
157;155;6;1;0;1
128;179;7;5;0;0
129;173;3;5;1;0
287;0;31;0;1;0
0;171;0;0;0;2
14;9;5;2;3;5
393;282;6;7;0;0
422;492;15;5;0;1
190;211;9;1;1;1
252;289;21;14;0;3
181;337;9;5;0;0
206;226;2;0;0;1
87;91;0;0;0;0
113;91;1;0;0;0
230;232;6;5;0;0
225;154;3;0;0;0
35;16;1;1;0;0
93;90;9;3;7;5
12;2;0;1;0;0
50;45;5;1;2;1
55;60;1;0;1;0
18;11;1;1;0;2
9;5;0;0;0;0
7;2;0;0;0;0
234;480;9;22;1;12
800;63;113;15;7;2
105;133;24;12;28;27
119;89;20;6;4;4
220;246;8;7;1;1
177;146;5;4;1;3
85;95;11;4;10;9
284;282;10;7;6;4
114;106;9;7;10;5
252;227;14;6;15;9
140;160;12;8;7;2
99;66;16;3;6;2
80;67;4;0;1;0
231;213;10;1;13;10
68;51;6;6;1;0
186;186;13;5;2;0
168;145;12;3;9;10
167;134;1;4;0;0
149;128;2;2;3;1
24;22;1;0;0;1
3;4;0;0;1;0
2;0;0;1;0;0
17;14;3;2;0;0
1;0;0;0;0;0
16;17;0;1;0;0
57;43;2;1;0;0
37;32;1;0;0;3
16;7;1;0;0;0
1;2;0;0;0;0
352;340;20;16;1;2
112;96;10;6;3;4
237;387;5;10;0;1
349;439;8;4;1;0
170;156;2;2;1;0
174;151;10;5;0;0
113;73;9;8;1;3
102;83;1;0;0;0
6;0;1;0;0;0
6;5;0;0;0;0
242;270;0;0;0;0
52;79;17;2;14;9
174;152;22;12;5;1
109;108;9;4;3;3
43;55;7;2;0;0
66;59;0;0;1;1
66;58;1;2;1;1
97;50;7;1;1;0
8;2;0;0;0;0
5;8;2;1;0;0
25;22;0;0;0;0
35;29;3;0;0;0
13;4;2;0;0;0
57;72;3;3;2;1
7;7;0;0;0;0
15;18;0;0;0;0
5;1;0;0;0;0
7;8;0;0;0;0
1;9;0;0;0;0
234;273;6;4;2;1
88;64;0;1;0;1
77;51;0;0;2;3
6;5;0;0;0;0
1;4;0;0;0;0
11;13;0;0;0;0
9;7;0;0;0;0
3;9;0;0;0;0
11;10;5;2;7;1
71;145;0;0;0;0
1031;193;20;0;7;4
355;190;15;8;7;1
